dms_orig,dms_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,value_2017,tons_2017,tmiles_2017
11,11,,1,,6,1,1,56.403774,48.984241,2.246382
11,12,,1,,6,1,3,0.000211,0.000124,3.3e-05
11,19,,1,,6,1,2,55.316299,100.383202,12.37157
11,50,,1,,6,1,3,0.287712,0.123123,0.046682
11,121,,1,,6,1,3,0.269526,0.606252,0.279035
11,123,,1,,6,1,4,8.008939,6.842041,3.74534
11,124,,5,,6,1,4,0.000119,5.6e-05,3.8e-05
11,129,,1,,6,1,3,0.0435,0.106806,0.034927
11,129,,5,,6,1,4,0.000921,6.4e-05,3.7e-05
11,131,,1,,6,1,2,75.996857,209.008713,36.504558
11,132,,1,,6,1,3,0.000211,0.000124,4.8e-05
11,139,,1,,6,1,3,25.995626,68.014824,17.270926
11,160,,1,,6,1,7,0.000422,0.000248,0.000488
11,182,,1,,6,1,3,0.000211,0.000124,6.1e-05
11,219,,1,,6,1,3,2.144209,2.132713,0.718369
11,221,,1,,6,1,3,0.000211,0.000124,5.1e-05
11,223,,1,,6,1,3,0.284842,0.185085,0.067977
11,229,,1,,6,1,3,4.998434,12.000211,5.012714
11,280,,1,,6,1,2,9.999088,13.999485,3.008511
11,350,,1,,6,1,6,0.000211,0.000124,0.000152
11,371,,1,,6,1,3,0.000211,0.000124,5.2e-05
11,392,,1,,6,1,4,0.120787,0.49878,0.35516
11,399,,1,,6,1,4,1.496396,4.412004,2.74403
11,459,,1,,6,1,3,0.013509,0.03445,0.013587
11,471,,1,,6,1,2,0.002057,0.004783,0.001125
11,472,,1,,6,1,2,3.181202,2.199459,0.415239
11,479,,1,,6,1,2,0.006128,0.041135,0.008447
11,481,,1,,6,1,5,0.000211,0.000124,9.9e-05
11,484,,1,,6,1,4,0.000211,0.000124,8.3e-05
11,485,,1,,6,1,6,0.000211,0.000124,0.00016
11,486,,1,,6,1,4,0.053239,0.113113,0.078787
11,488,,1,,6,1,5,0.000211,0.000124,0.000108
11,489,,1,,6,1,4,0.102267,1.724799,1.208795
12,11,,1,,6,1,3,2.765245,0.207926,0.052758
12,12,,1,,6,1,1,23.716459,6.679635,0.169508
12,19,,1,,6,1,2,5.308473,2.166245,0.398433
12,41,,1,,6,1,7,0.002736,5e-05,8.2e-05
12,50,,1,,6,1,3,0.901462,0.077564,0.03855
12,61,,1,,6,1,8,0.015664,0.272217,0.548678
12,89,,1,,6,1,6,0.0001,5e-05,7e-05
12,121,,1,,6,1,3,3.001979,2.000563,0.838235
12,122,,1,,6,1,4,0.002267,0.000103,7.1e-05
12,123,,1,,6,1,3,3.001764,1.999162,0.981295
12,124,,1,,6,1,4,0.998957,1.001918,0.501507
12,129,,1,,6,1,2,0.971651,0.511395,0.105124
12,131,,1,,6,1,3,1.000646,0.995733,0.346513
12,132,,1,,6,1,3,0.000211,0.000124,6.1e-05
12,139,,1,,6,1,3,1.00124,2.002116,0.668206
12,160,,1,,6,1,8,1.999963,1.99939,4.34335
12,223,,1,,6,1,2,1.000987,1.000974,0.159526
12,229,,1,,6,1,3,2.685451,0.66139,0.19063
12,242,,1,,6,1,5,1.002932,0.760145,0.755711
12,280,,1,,6,1,2,2.558761,2.298413,0.386066
12,319,,1,,6,1,6,1.000352,1.001567,1.188839
12,350,,1,,6,1,6,0.000211,0.000124,0.000152
12,369,,1,,6,1,6,1.000442,1.000561,1.263274
12,379,,1,,6,1,4,1.000537,0.124947,0.07997
12,380,,1,,6,1,7,3.999567,2.998236,4.864681
12,391,,1,,6,1,4,0.0001,5e-05,3.7e-05
12,394,,1,,6,1,5,1.000019,1.00121,0.806132
12,409,,1,,6,1,5,0.000211,0.000124,9.3e-05
12,411,,1,,6,1,8,0.998867,0.997692,2.74883
12,471,,1,,6,1,3,0.010056,0.054239,0.023127
12,472,,1,,6,1,3,0.068517,0.488533,0.216145
12,484,,1,,6,1,4,0.002222,0.001868,0.001203
12,488,,1,,6,1,4,5.001001,2.998292,2.041388
12,489,,1,,6,1,4,1.004128,0.999988,0.627169
12,511,,1,,6,1,5,0.287475,0.292006,0.25891
12,519,,1,,6,1,5,0.253691,0.04493,0.034773
12,551,,1,,6,1,6,1.00041,1.001115,1.03169
19,11,,1,,6,1,2,26.237358,17.340559,1.917861
19,12,,1,,6,1,2,27.46627,11.140148,2.526446
19,19,,1,,6,1,2,195.866974,73.790085,8.625876
19,19,,5,,6,1,2,0.0001,5e-05,9e-06
19,50,,1,,6,1,3,28.318205,10.28966,4.256506
19,65,,1,,6,1,8,0.000211,0.000124,0.000273
19,81,,1,,6,1,6,11.089197,9.45005,12.836011
19,89,,1,,6,1,6,0.000211,0.000124,0.000166
19,121,,1,,6,1,3,5.003578,3.000925,1.043056
19,122,,1,,6,1,4,0.000916,0.002533,0.001598
19,124,,1,,6,1,3,2.706728,3.970619,1.742351
19,129,,1,,6,1,2,42.08271,14.564665,3.297366
19,131,,1,,6,1,2,149.787277,161.234741,30.314515
19,131,,5,,6,1,3,0.000834,6.4e-05,1.7e-05
19,132,,1,,6,1,3,0.000211,0.000124,4.2e-05
19,139,,1,,6,1,2,12.190273,13.330131,2.711097
19,160,,1,,6,1,7,11.382164,3.409378,6.694354
19,179,,1,,6,1,3,76.046242,34.954655,17.33453
19,211,,1,,6,1,3,7.001016,21.004194,9.899202
19,219,,1,,6,1,3,30.015421,70.927292,23.828246
19,221,,1,,6,1,3,1.00128,0.999946,0.414039
19,223,,1,,6,1,3,7.004303,4.001024,1.44776
19,229,,1,,6,1,3,3.0022,2.999884,1.322636
19,261,,1,,6,1,5,7.174258,5.621241,4.244164
19,280,,1,,6,1,2,5.710947,8.19499,2.012757
19,292,,1,,6,1,4,48.014935,26.240271,13.462807
19,299,,1,,6,1,4,0.000211,0.000124,6.2e-05
19,300,,1,,6,1,7,0.061587,0.10224,0.190803
19,369,,1,,6,1,6,4.001592,1.999976,2.052398
19,373,,1,,6,1,4,3.002386,6.000709,3.433778
19,379,,1,,6,1,3,1.989235,0.390706,0.174391
19,392,,1,,6,1,4,0.461708,0.187141,0.135046
19,409,,1,,6,1,4,16.839396,9.400099,6.752815
19,419,,1,,6,1,8,0.892089,0.529712,1.261219
19,452,,1,,6,1,3,0.000211,0.000124,4.1e-05
19,459,,1,,6,1,3,2.196308,7.736947,3.081338
19,471,,1,,6,1,3,11.005336,37.999954,9.816048
19,472,,1,,6,1,2,21.015194,55.001747,10.335661
19,473,,1,,6,1,3,3.003499,6.00261,1.626763
19,479,,1,,6,1,2,30.456873,81.13549,16.152915
19,489,,1,,6,1,4,0.000422,0.000248,0.000182
19,531,,1,,6,1,8,0.220819,0.025013,0.065655
19,551,,1,,6,1,5,5.305912,0.598541,0.477632
20,20,,1,,6,1,2,107.341209,28.715002,3.696058
20,20,,4,,6,1,2,6.83824,1.108458,0.212733
20,20,,5,,6,1,5,12.915033,2.900979,2.550504
41,41,,1,,6,1,1,920.826721,648.687378,12.539523
41,41,,2,,6,1,1,20.77504,47.70129,2.507995
41,41,,5,,6,1,1,0.0001,5e-05,3e-06
41,42,,1,,6,1,2,41.584057,8.124781,1.018584
41,49,,1,,6,1,2,57.015747,59.11047,10.356805
41,61,,1,,6,1,3,164.00737,135.060455,51.008237
41,61,,5,,6,1,4,0.00011,6.8e-05,3.5e-05
41,62,,1,,6,1,5,2.450971,0.761857,0.609631
41,63,,1,,6,1,3,18.000059,9.013672,3.397557
41,63,,5,,6,1,4,0.0001,5e-05,2.8e-05
41,64,,1,,6,1,5,22.256224,7.112477,5.382889
41,64,,5,,6,1,5,0.0001,5e-05,4.7e-05
41,65,,1,,6,1,4,2.176785,2.283304,1.413152
41,69,,1,,6,1,4,13.003922,12.0042,6.045457
41,81,,1,,6,1,5,34.966202,10.983544,9.540684
41,81,,5,,6,1,6,0.003005,0.069893,0.077915
41,89,,1,,6,1,4,11.989166,10.89745,6.160453
41,122,,1,,6,1,8,6.937438,2.569447,5.955856
41,131,,1,,6,1,7,36.422516,12.640406,23.425865
41,139,,1,,6,1,7,22.358374,6.536103,12.452083
41,160,,5,,6,1,7,0.711659,0.009072,0.014488
41,171,,1,,6,1,7,37.992733,13.016924,23.082033
41,209,,1,,6,1,5,14.046872,2.686234,2.582
41,321,,1,,6,1,3,184.032944,32.993141,10.872857
41,321,,5,,6,1,4,0.000208,0.000119,7.9e-05
41,329,,1,,6,1,5,0.488577,0.109199,0.082626
41,341,,1,,6,1,8,4.131882,0.215105,0.536391
41,350,,1,,6,1,3,29.004166,8.999459,3.545265
41,371,,1,,6,1,8,6.149397,1.050432,2.183372
41,379,,1,,6,1,8,5.550815,1.253494,2.607087
41,411,,1,,6,1,6,1.982957,1.361802,1.812973
41,419,,1,,6,1,6,0.000211,0.000124,0.000143
41,419,,5,,6,1,7,0.062215,0.001093,0.001663
41,429,,1,,6,1,8,5.029505,0.362493,0.82189
41,459,,1,,6,1,8,0.347777,0.335395,0.694047
41,479,,1,,6,1,7,10.812522,2.189682,3.600306
41,484,,1,,6,1,6,26.84178,7.774946,8.229805
41,485,,1,,6,1,3,34.001236,19.775331,8.262372
41,486,,1,,6,1,6,11.788309,3.028326,3.501372
41,486,,5,,6,1,6,0.203594,0.003465,0.004307
41,489,,1,,6,1,5,5.265283,1.585947,1.258465
41,491,,1,,6,1,4,49.99374,9.994042,6.820135
41,531,,1,,6,1,7,19.368963,6.533247,9.900831
42,41,,1,,6,1,2,8.23399,2.562314,0.278148
42,41,,5,,6,1,2,0.169702,0.001555,0.000188
42,42,,1,,6,1,1,18.087067,7.315508,0.290038
42,49,,1,,6,1,2,1.235656,0.494263,0.084113
42,50,,5,,6,1,6,0.002415,5e-05,6.9e-05
42,61,,1,,6,1,3,0.000422,0.000248,0.00012
42,61,,5,,6,1,4,0.035152,0.000321,0.000164
42,62,,5,,6,1,5,0.035329,0.00032,0.000301
42,63,,5,,6,1,4,0.035205,0.000322,0.000187
42,64,,1,,6,1,5,0.000211,0.000124,0.000107
42,64,,5,,6,1,5,0.035221,0.00032,0.000297
42,65,,5,,6,1,5,0.000103,5.1e-05,3.8e-05
42,81,,1,,6,1,5,0.000211,0.000124,0.000113
42,99,,5,,6,1,8,0.332614,0.002562,0.008966
42,121,,5,,6,1,8,0.045967,0.000399,0.00099
42,122,,5,,6,1,8,0.031429,0.000246,0.000569
42,123,,5,,6,1,8,0.032488,0.000241,0.000519
42,160,,5,,6,1,7,0.035114,0.000321,0.00051
42,171,,5,,6,1,7,0.035246,0.00032,0.000546
42,190,,5,,6,1,7,0.045781,0.000416,0.000657
42,209,,5,,6,1,6,0.028653,0.000245,0.000295
42,251,,5,,6,1,8,0.028981,0.000246,0.000859
42,292,,5,,6,1,7,0.036238,0.00032,0.000496
42,299,,5,,6,1,6,0.035272,0.00032,0.000461
42,300,,5,,6,1,7,0.035455,0.000321,0.000628
42,311,,5,,6,1,6,0.035097,0.00032,0.000473
42,319,,5,,6,1,6,0.817837,0.00744,0.010873
42,321,,5,,6,1,4,0.035996,0.000324,0.000219
42,329,,5,,6,1,6,0.0319,0.000242,0.000274
42,331,,5,,6,1,8,0.030159,0.000241,0.000884
42,369,,5,,6,1,8,0.045912,0.000415,0.001044
42,380,,5,,6,1,8,0.034532,0.000314,0.00068
42,392,,5,,6,1,8,0.034591,0.000246,0.000508
42,411,,1,,6,1,6,0.000211,0.000124,0.000178
42,419,,1,,6,1,6,0.000211,0.000124,0.000155
42,429,,5,,6,1,8,0.016491,0.000141,0.000338
42,441,,5,,6,1,8,0.037094,0.000314,0.001101
42,472,,5,,6,1,7,0.035166,0.000317,0.000555
42,479,,5,,6,1,7,0.035,0.000312,0.000556
42,485,,1,,6,1,3,0.000211,0.000124,4e-05
42,486,,1,,6,1,6,0.000211,0.000124,0.000131
42,489,,5,,6,1,5,0.035164,0.00032,0.000308
42,491,,1,,6,1,5,0.000211,0.000124,9.7e-05
42,539,,1,,6,1,6,0.000211,0.000124,0.000182
49,41,,1,,6,1,2,66.856934,282.072235,38.336008
49,42,,1,,6,1,2,5.154562,1.497264,0.341668
49,49,,1,,6,1,2,49.942036,101.656731,16.777343
49,61,,1,,6,1,3,79.99604,28.994202,12.129884
49,61,,5,,6,1,4,0.001587,5e-05,2.8e-05
49,62,,1,,6,1,5,15.995283,5.995569,4.744794
49,63,,1,,6,1,3,9.98319,4.002903,1.60653
49,64,,1,,6,1,5,18.975134,6.998979,5.273234
49,65,,1,,6,1,4,2.082444,1.465654,0.882434
49,69,,1,,6,1,4,45.588505,17.230392,9.152105
49,81,,1,,6,1,5,0.998213,0.124836,0.097039
49,160,,1,,6,1,5,25.011044,7.993072,6.589327
49,209,,1,,6,1,5,0.001454,5e-05,4.4e-05
49,300,,1,,6,1,6,5.913138,2.465954,2.748401
49,319,,1,,6,1,6,0.690216,0.905923,0.973731
49,321,,1,,6,1,3,10.000559,4.004131,1.117281
49,329,,1,,6,1,4,9.999561,3.997603,2.876598
49,350,,1,,6,1,3,34.735394,190.441956,70.037543
49,401,,1,,6,1,5,0.040422,0.776951,0.719277
49,402,,1,,6,1,6,0.359799,0.007311,0.007558
49,409,,1,,6,1,5,0.028434,0.680413,0.590336
49,411,,1,,6,1,6,6.999402,1.999373,2.575332
49,419,,1,,6,1,6,14.011097,5.956891,6.536247
49,481,,1,,6,1,6,1.981932,0.927079,0.967638
49,484,,1,,6,1,6,3.989314,0.9976,1.007996
49,486,,1,,6,1,6,0.036321,0.913916,1.083008
49,488,,1,,6,1,6,3.003241,0.124565,0.126558
49,488,,5,,6,1,6,0.000114,5.1e-05,6.3e-05
49,489,,1,,6,1,5,0.998521,0.124885,0.095532
49,491,,1,,6,1,4,24.00894,8.978839,5.083674
49,491,,5,,6,1,5,0.000101,5e-05,4.5e-05
49,499,,1,,6,1,3,0.630467,0.36859,0.129911
49,531,,1,,6,1,6,20.952608,7.97415,11.297372
49,532,,1,,6,1,6,10.625606,3.870296,5.101424
49,539,,1,,6,1,6,12.620372,4.972875,6.28858
49,560,,1,,6,1,5,0.002755,5e-05,4.2e-05
50,11,,1,,6,1,3,1.296121,0.066779,0.027645
50,12,,1,,6,1,4,0.000211,0.000124,6.3e-05
