dms_orig,dms_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,value_2017,tons_2017,tmiles_2017
11,11,,1,,7,1,1,676.44165,811.031799,33.654819
11,11,,5,,7,1,1,0.0001,5e-05,3e-06
11,12,,1,,7,1,3,52.969532,119.03743,30.056355
11,19,,1,,7,1,2,506.183899,738.580627,85.662027
11,19,,5,,7,1,2,0.006918,0.057706,0.008411
11,41,,1,,7,1,7,2.646489,6.805766,11.531987
11,50,,1,,7,1,3,7.997216,14.000861,5.130356
11,61,,1,,7,1,8,3.992854,7.001832,14.215117
11,69,,1,,7,1,8,0.861292,0.092184,0.185363
11,81,,1,,7,1,6,0.871398,2.257376,3.057326
11,89,,1,,7,1,6,7.531687,3.018265,3.801156
11,91,,1,,7,1,6,1.034357,2.011366,2.271021
11,101,,1,,7,1,5,0.004193,6.5e-05,5.6e-05
11,121,,1,,7,1,3,3.972469,6.085157,2.724405
11,122,,1,,7,1,4,25.920481,16.001137,11.79233
11,123,,1,,7,1,4,15.008739,9.995686,5.358328
11,124,,1,,7,1,4,5.99789,9.974133,5.450797
11,129,,1,,7,1,3,111.036926,216.067688,59.218155
11,129,,5,,7,1,4,0.000127,0.000429,0.000236
11,131,,1,,7,1,2,197.041351,330.214111,55.914856
11,131,,5,,7,1,2,0.886305,0.013604,0.003029
11,132,,1,,7,1,3,0.006182,0.003791,0.001458
11,139,,1,,7,1,2,128.039612,246.188721,57.794995
11,139,,5,,7,1,3,0.000132,0.000479,0.000151
11,160,,1,,7,1,7,0.000298,0.000248,0.000473
11,171,,1,,7,1,4,17.356792,5.110203,3.50799
11,171,,5,,7,1,4,0.386882,0.006113,0.004262
11,179,,1,,7,1,3,11.572495,3.172314,1.404074
11,182,,1,,7,1,3,9.000789,12.957055,6.291712
11,183,,1,,7,1,4,0.490853,0.047422,0.029159
11,189,,1,,7,1,3,14.998611,2.000213,0.828919
11,190,,1,,7,1,5,0.8494,0.044031,0.035061
11,201,,1,,7,1,4,2.999865,1.999655,1.487577
11,209,,1,,7,1,5,7.430823,0.709366,0.554589
11,212,,1,,7,1,3,11.185379,19.426016,7.062443
11,219,,1,,7,1,3,24.005756,23.999819,7.876947
11,221,,1,,7,1,3,1.38199,0.037455,0.015461
11,223,,1,,7,1,3,41.948643,60.000492,21.717678
11,229,,1,,7,1,3,13.997586,8.000229,3.175612
11,242,,1,,7,1,5,0.529083,0.170011,0.130227
11,249,,1,,7,1,5,1.036692,3.773773,3.045138
11,251,,1,,7,1,6,0.014454,0.234125,0.283786
11,259,,1,,7,1,6,0.237717,0.087903,0.103047
11,261,,1,,7,1,4,5.999781,4.99926,3.735187
11,262,,1,,7,1,5,0.805684,0.718289,0.539819
11,269,,1,,7,1,5,0.939173,0.124686,0.096302
11,271,,1,,7,1,6,0.040752,0.120077,0.129524
11,279,,1,,7,1,6,1.510989,2.73446,2.878167
11,280,,1,,7,1,2,31.064182,44.174751,9.140626
11,280,,5,,7,1,3,0.000109,0.000472,0.00013
11,291,,1,,7,1,4,4.998201,5.952701,4.343285
11,292,,1,,7,1,4,0.503971,0.246172,0.125684
11,299,,1,,7,1,3,1.999479,5.001413,2.205987
11,311,,1,,7,1,5,0.097232,0.002361,0.002196
11,319,,1,,7,1,5,0.164422,0.378401,0.374112
