dms_orig,dms_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,value_2017,tons_2017,tmiles_2017
11,11,,1,,1,1,1,67.465919,51.010231,3.165464
11,19,,1,,1,1,2,510.022522,385.622345,47.831162
11,129,,1,,1,1,3,1.799322,1.360447,0.442662
11,131,,1,,1,1,2,16.518726,12.489625,2.141221
11,139,,1,,1,1,2,6.790767,5.134423,1.253989
11,280,,1,,1,1,2,178.650009,135.075287,31.114016
11,379,,1,,1,1,3,15.236691,11.520292,4.812209
11,472,,1,,1,1,2,1.381829,1.044785,0.218714
11,479,,1,,1,1,2,48.730488,36.844578,8.371117
12,12,,1,,1,1,1,56.585228,13.523384,0.353011
12,19,,1,,1,1,2,7.441899,2.226591,0.413765
12,129,,1,,1,1,2,1.335396,0.399546,0.08963
12,223,,1,,1,1,2,5.964019,1.784415,0.293693
12,229,,1,,1,1,3,1.094477,0.327464,0.098196
12,280,,1,,1,1,2,6.202501,1.855768,0.356547
19,11,,1,,1,1,2,1052.646118,750.83252,98.320764
19,12,,1,,1,1,2,1.235379,0.885063,0.170442
19,19,,1,,1,1,2,2681.846191,1910.014038,241.417517
19,123,,1,,1,1,3,0.17298,0.079046,0.032087
19,129,,1,,1,1,2,4.388119,1.210245,0.269164
19,131,,1,,1,1,2,90.546883,64.862656,12.856818
19,139,,1,,1,1,2,47.139553,32.685036,6.762259
19,209,,1,,1,1,5,74.092598,28.100883,24.467628
19,280,,1,,1,1,2,73.724525,41.617756,10.38594
19,299,,1,,1,1,4,10.03819,1.80859,0.922601
19,319,,1,,1,1,6,45.052692,17.113365,17.624399
19,350,,1,,1,1,6,8.874522,4.803844,5.901224
19,379,,1,,1,1,3,0.766989,0.02075,0.009069
19,402,,1,,1,1,4,11.737975,3.905381,2.635937
19,409,,1,,1,1,4,40.002827,14.93512,10.741952
19,473,,1,,1,1,3,4.049963,2.901514,0.879701
19,479,,1,,1,1,2,12.495769,8.960126,2.128677
19,484,,1,,1,1,4,0.953577,0.153166,0.104947
19,489,,1,,1,1,4,225.097366,70.100128,50.630244
20,20,,1,,1,1,2,1831.859741,3176.786621,775.293971
20,20,,4,,1,1,3,0.963741,0.015686,0.005738
41,61,,1,,1,1,3,264.730042,60.903824,23.731764
41,69,,1,,1,1,3,104.944206,24.143476,11.72067
42,20,,5,,1,1,8,0.000746,5e-05,0.000168
42,61,,5,,1,1,4,0.000261,5e-05,2.6e-05
42,62,,5,,1,1,5,0.000121,5e-05,4.8e-05
42,64,,5,,1,1,5,0.001241,5e-05,4.7e-05
42,69,,1,,1,1,4,20.29693,13.217751,7.098478
42,69,,5,,1,1,5,0.000118,5.2e-05,4.3e-05
42,81,,5,,1,1,6,0.000191,5e-05,5.8e-05
42,89,,5,,1,1,6,0.000318,5e-05,5.7e-05
42,129,,5,,1,1,8,0.000322,5e-05,0.000102
42,223,,5,,1,1,7,0.00026,5e-05,7.6e-05
42,269,,5,,1,1,8,0.000183,5.7e-05,0.000117
42,350,,1,,1,1,3,1.299269,0.846109,0.297501
42,419,,5,,1,1,7,0.000331,5e-05,7.7e-05
42,479,,5,,1,1,7,0.000127,0.000313,0.000563
42,486,,5,,1,1,6,0.000972,5e-05,5.8e-05
42,532,,5,,1,1,7,0.000477,5e-05,8.7e-05
49,42,,1,,1,1,2,0.078705,0.016313,0.00288
49,61,,1,,1,1,3,261.050934,54.10923,20.449725
49,321,,1,,1,1,3,7.325769,1.518446,0.464234
49,350,,1,,1,1,3,6.62444,1.373078,0.431889
49,499,,1,,1,1,3,25.170691,5.217245,2.234086
50,50,,1,,1,1,2,5810.882812,3710.738525,505.471269
50,202,,1,,1,1,3,7.192377,4.634432,1.906809
50,229,,1,,1,1,3,10.02505,6.459674,1.633416
50,280,,1,,1,1,3,45.443504,29.281672,7.480649
50,299,,1,,1,1,3,43.394337,27.961285,7.172072
50,409,,1,,1,1,3,33.469936,21.566465,6.328144
50,471,,1,,1,1,2,1.265863,0.815663,0.146552
50,479,,1,,1,1,3,12.395655,7.987182,2.338116
50,484,,1,,1,1,3,20.511967,13.216953,4.18518
50,489,,1,,1,1,3,80.600792,51.935387,20.411701
61,11,,1,,1,1,8,0.234224,0.004392,0.008992
61,19,,4,,1,1,7,0.037251,0.001317,0.002361
61,41,,4,,1,1,3,0.135279,0.005153,0.001759
61,41,,5,,1,1,4,1.970778,0.057028,0.029982
61,42,,5,,1,1,4,0.069335,0.001164,0.0006
61,49,,5,,1,1,4,1.576135,0.030261,0.016128
61,50,,5,,1,1,7,0.003325,0.008231,0.015191
61,61,,1,,1,1,1,270.530792,150.183121,6.158604
61,61,,5,,1,1,1,16.392094,0.323362,0.022393
61,62,,5,,1,1,4,0.024216,0.032766,0.016805
61,63,,1,,1,1,2,0.862504,0.315645,0.034561
61,63,,5,,1,1,2,8.679163,0.144821,0.018225
61,64,,1,,1,1,3,2.017819,0.035269,0.013933
61,64,,5,,1,1,3,3.010215,0.04608,0.022277
61,65,,5,,1,1,3,0.576586,0.008994,0.002808
61,69,,1,,1,1,2,5.60421,1.799091,0.438378
61,69,,5,,1,1,3,16.743114,0.480885,0.184964
61,81,,4,,1,1,5,1.03275,0.087355,0.071554
61,81,,5,,1,1,6,2.126362,0.254431,0.326871
61,89,,5,,1,1,6,1.040857,0.020694,0.025775
61,91,,5,,1,1,8,0.000253,0.000626,0.002845
61,92,,5,,1,1,8,0.000104,6.6e-05,0.000282
61,99,,4,,1,1,8,0.001274,0.000101,0.000255
61,99,,5,,1,1,8,0.001279,0.003167,0.014342
61,101,,4,,1,1,8,0.013912,0.000241,0.000567
61,101,,5,,1,1,8,0.921365,0.015712,0.068097
61,122,,4,,1,1,8,0.001738,0.005724,0.013162
61,122,,5,,1,1,8,2.073957,0.041022,0.115006
61,123,,5,,1,1,8,0.002416,0.00598,0.015901
61,124,,5,,1,1,8,0.424003,0.007328,0.018149
61,129,,4,,1,1,7,0.000705,0.001787,0.003419
61,129,,5,,1,1,8,0.000104,6.5e-05,0.000165
61,131,,4,,1,1,7,0.415058,0.018834,0.035936
61,131,,5,,1,1,8,0.00037,0.000521,0.001301
61,139,,4,,1,1,7,0.000294,0.000497,0.000959
61,139,,5,,1,1,8,0.015799,0.001041,0.002702
61,159,,4,,1,1,8,1.136166,0.035127,0.088678
61,171,,1,,1,1,8,0.659166,0.045133,0.090966
61,171,,4,,1,1,7,0.000104,0.000106,0.000182
61,171,,5,,1,1,8,2.073761,0.04133,0.090357
61,182,,5,,1,1,8,0.001079,5e-05,0.000115
61,189,,4,,1,1,7,0.005275,0.012188,0.021441
61,201,,5,,1,1,7,0.01703,0.000894,0.001568
61,202,,5,,1,1,7,0.006548,0.000307,0.000479
61,211,,4,,1,1,7,0.000591,5e-05,9.3e-05
61,211,,5,,1,1,8,0.000499,5e-05,0.000122
61,229,,4,,1,1,6,0.000103,0.000102,0.00015
61,229,,5,,1,1,7,0.000576,0.000598,0.001119
61,230,,5,,1,1,8,0.025556,0.063258,0.357636
61,241,,5,,1,1,8,3.686521,0.147734,0.606547
61,242,,4,,1,1,8,0.000921,0.003033,0.006925
61,242,,5,,1,1,8,0.002357,0.003921,0.015565
61,251,,4,,1,1,8,0.259687,0.008222,0.021111
61,251,,5,,1,1,8,0.260171,0.005129,0.026295
61,259,,5,,1,1,8,0.000677,5e-05,0.000202
61,261,,4,,1,1,7,0.000467,0.000361,0.000706
61,261,,5,,1,1,8,0.000741,0.000523,0.001306
61,269,,4,,1,1,7,0.27458,0.066624,0.123493
61,269,,5,,1,1,8,2.476413,1.165781,2.984102
61,271,,5,,1,1,8,0.010955,0.000228,0.000507
61,280,,1,,1,1,7,0.36352,0.010495,0.019638
61,280,,4,,1,1,7,0.194472,0.006785,0.011157
61,291,,5,,1,1,7,0.000345,6.6e-05,0.000119
61,292,,5,,1,1,8,0.000105,6.6e-05,0.000134
61,299,,5,,1,1,7,2.993888,0.069284,0.132205
61,300,,1,,1,1,6,3.029467,0.068671,0.083502
61,311,,5,,1,1,7,0.119839,0.007707,0.013816
61,321,,5,,1,1,3,0.001,0.000499,0.00016
61,329,,5,,1,1,4,0.007581,0.00011,7.5e-05
61,331,,1,,1,1,8,1.854911,0.222868,0.680359
61,331,,5,,1,1,8,2.032639,0.038519,0.195202
61,341,,5,,1,1,8,6.206263,0.124604,0.526988
61,342,,4,,1,1,8,0.1602,0.010209,0.024459
61,342,,5,,1,1,8,1.899016,0.286088,1.245515
61,350,,5,,1,1,5,0.009359,0.000397,0.000386
61,361,,1,,1,1,8,0.159698,0.3908,1.13006
61,363,,1,,1,1,8,0.195121,0.052917,0.150136
61,363,,4,,1,1,8,0.452673,0.055342,0.135204
61,363,,5,,1,1,8,4.166284,0.083451,0.369983
61,369,,4,,1,1,8,0.000851,0.000676,0.001548
61,369,,5,,1,1,8,0.000104,6.6e-05,0.000201
61,371,,4,,1,1,8,0.628974,0.809113,1.694806
61,373,,1,,1,1,8,1.277379,0.069145,0.175518
61,373,,5,,1,1,8,2.991423,0.137093,0.392633
61,379,,1,,1,1,8,0.915485,0.018954,0.04505
61,379,,5,,1,1,8,4.163499,0.082482,0.262941
61,391,,1,,1,1,8,1.178986,0.017808,0.0397
61,391,,5,,1,1,8,0.000735,5e-05,0.000122
61,393,,5,,1,1,8,2.077412,0.041274,0.105197
61,399,,5,,1,1,8,0.000104,6.6e-05,0.000167
61,402,,1,,1,1,6,1.065528,0.021973,0.031698
61,409,,5,,1,1,7,0.171834,0.425331,0.666604
61,411,,5,,1,1,6,2.124503,0.032277,0.038761
61,419,,4,,1,1,4,0.009643,0.000453,0.000309
61,419,,5,,1,1,6,0.718781,0.036316,0.039427
61,421,,4,,1,1,8,0.001127,0.000107,0.000253
61,421,,5,,1,1,8,0.000522,6.6e-05,0.000275
61,422,,4,,1,1,8,0.000475,5e-05,0.000106
61,422,,5,,1,1,8,0.000753,5e-05,0.000135
61,423,,5,,1,1,8,2.069243,0.040829,0.126285
61,429,,1,,1,1,8,1.767026,0.416343,1.068676
61,429,,5,,1,1,8,2.069993,0.041427,0.11963
61,441,,1,,1,1,8,0.132001,0.086396,0.261375
61,451,,5,,1,1,8,0.002216,5e-05,0.000164
61,452,,5,,1,1,8,2.055479,0.039649,0.104853
