dms_orig,dms_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,value_2017,tons_2017,tmiles_2017
11,19,,1,,2,1,2,7.008128,59.934925,8.053323
11,280,,1,,2,1,3,0.149243,1.276356,0.31922
11,479,,1,,2,1,3,0.678964,5.806634,1.483764
12,12,,1,,2,1,1,2.013499,11.113659,0.293963
12,19,,1,,2,1,2,2.423187,12.287209,2.771552
12,121,,1,,2,1,3,2.158972,0.390412,0.165204
12,124,,1,,2,1,4,0.118782,0.16274,0.08163
12,129,,1,,2,1,3,4.332314,29.511826,11.201209
12,131,,1,,2,1,3,0.920426,0.077972,0.027444
12,139,,1,,2,1,3,2.002187,1.997667,0.733039
12,171,,1,,2,1,5,0.550239,0.084282,0.079143
12,223,,1,,2,1,2,1.637835,8.441754,1.386675
12,280,,1,,2,1,2,1.618757,7.285902,1.770907
12,363,,1,,2,1,6,0.00054,9.8e-05,0.000122
12,369,,1,,2,1,6,0.353403,0.567143,0.734532
12,379,,1,,2,1,4,0.077472,0.201376,0.142004
12,391,,1,,2,1,5,0.045025,0.011313,0.008528
12,394,,1,,2,1,5,0.85338,0.07431,0.060045
12,471,,1,,2,1,3,0.120546,0.674988,0.291244
12,488,,1,,2,1,4,0.625637,0.554179,0.381163
12,489,,1,,2,1,4,0.000273,0.002457,0.00182
12,519,,1,,2,1,5,0.169988,0.077291,0.062385
19,11,,1,,2,1,2,20.342283,165.864059,23.69535
19,19,,1,,2,1,2,507.21521,3302.26123,521.535237
19,19,,2,,2,1,2,34.997494,222.96109,46.033889
19,19,,3,,2,1,3,10.00559,74.989784,30.200529
19,129,,1,,2,1,3,3.074818,9.015922,3.398963
19,131,,1,,2,1,2,12.574792,83.904312,17.899393
19,139,,1,,2,1,3,0.237019,0.046961,0.011971
19,280,,1,,2,1,3,0.091387,0.975795,0.280683
20,20,,1,,2,1,2,0.644,6.424308,1.19516
41,41,,1,,2,1,1,759.793213,3928.80542,83.9652
41,42,,1,,2,1,2,21.746445,89.945457,12.197368
41,49,,1,,2,1,2,50.971046,172.197556,31.81261
41,61,,1,,2,1,3,4.996933,19.0762,7.225374
41,160,,1,,2,1,6,7.639602,16.753319,17.113628
41,319,,1,,2,1,6,7.406398,16.223652,19.575891
42,49,,1,,2,1,3,4.295198,17.765366,4.470048
42,131,,5,,2,1,8,0.259642,0.013193,0.026747
49,41,,1,,2,1,2,9.006864,40.082111,5.342229
49,42,,1,,2,1,3,0.001,0.0005,0.000127
49,49,,1,,2,1,2,100.940575,416.445374,87.999524
49,350,,1,,2,1,3,0.152874,1.99853,0.912952
