dms_orig,dms_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,value_2017,tons_2017,tmiles_2017
41,321,,1,,3,1,3,40.907627,8.991911,2.967779
41,341,,1,,3,1,8,60.033867,43.015762,107.152634
41,350,,1,,3,1,3,1.999866,3.998522,1.950871
41,411,,1,,3,1,6,0.8918,0.012121,0.016089
41,488,,5,,3,1,6,0.002721,5.5e-05,5.8e-05
41,489,,1,,3,1,5,0.934707,0.014951,0.014346
42,41,,1,,3,1,2,25.889256,30.20619,4.19632
42,42,,1,,3,1,1,146.963669,228.317871,9.292505
42,49,,1,,3,1,2,1.744777,2.671875,0.654123
42,61,,1,,3,1,4,229.205826,362.550018,184.651109
42,62,,1,,3,1,5,1.24448,1.879093,1.751561
42,63,,1,,3,1,3,17.01214,23.984243,10.76548
42,64,,1,,3,1,5,26.048401,42.731426,38.340635
42,65,,1,,3,1,5,21.920506,67.069138,50.889694
42,69,,1,,3,1,5,11.454818,20.737101,17.169561
42,81,,1,,3,1,5,45.035229,49.983826,46.372032
42,89,,1,,3,1,5,9.619354,7.523424,6.239804
42,91,,1,,3,1,8,1.006182,1.986083,5.152007
42,122,,1,,3,1,8,9.007675,11.996847,27.052566
42,123,,1,,3,1,8,0.294621,0.233002,0.474878
42,124,,1,,3,1,8,1.106933,0.053944,0.110552
42,129,,1,,3,1,7,1.244243,0.52863,1.024065
42,131,,1,,3,1,7,2.165986,0.050931,0.091333
42,139,,1,,3,1,7,17.312464,20.630219,38.290845
42,160,,1,,3,1,6,0.202645,0.327669,0.379674
42,171,,1,,3,1,7,39.08234,58.893185,108.178844
42,182,,1,,3,1,7,6.04163,5.926449,10.650173
42,190,,1,,3,1,7,37.034634,50.855698,77.821471
42,201,,1,,3,1,6,9.017665,12.954878,16.555139
42,211,,1,,3,1,7,11.852933,9.755489,18.48566
42,212,,1,,3,1,7,0.098866,0.000689,0.00124
42,223,,1,,3,1,6,1.163544,1.979633,2.82441
42,241,,1,,3,1,8,0.112532,0.000689,0.00162
42,251,,1,,3,1,8,33.076717,52.769554,142.989621
42,261,,1,,3,1,8,0.952213,0.248084,0.508514
42,262,,1,,3,1,7,0.049246,0.000314,0.000618
42,269,,1,,3,1,8,14.672189,25.720158,53.209739
42,271,,1,,3,1,7,48.006084,45.692013,79.968294
42,279,,1,,3,1,7,2.592933,6.895655,12.15568
42,291,,1,,3,1,6,2.865749,2.981764,3.954686
42,292,,1,,3,1,7,1.005075,1.995726,2.994934
42,299,,1,,3,1,6,0.042126,0.738762,1.039954
42,300,,1,,3,1,6,1.537723,1.906014,2.733272
42,311,,1,,3,1,6,6.723915,7.944949,10.8527
42,319,,1,,3,1,6,2.999714,4.744543,5.941159
42,321,,1,,3,1,3,4.081827,5.037097,2.345706
42,341,,1,,3,1,8,0.30889,0.065647,0.164454
42,342,,1,,3,1,8,0.180057,0.046246,0.113932
42,350,,1,,3,1,3,0.425335,4.827116,2.255936
42,361,,1,,3,1,8,0.038095,0.000241,0.000639
42,362,,1,,3,1,8,0.182866,0.001165,0.002684
42,363,,1,,3,1,8,3.343574,7.330431,18.55007
42,371,,1,,3,1,8,0.094321,0.005889,0.011928
42,373,,1,,3,1,8,0.264783,0.001969,0.004265
42,379,,1,,3,1,8,1.858768,1.640019,3.498869
42,392,,1,,3,1,8,11.007914,14.99124,31.567889
42,393,,1,,3,1,7,5.995302,7.004017,13.961082
42,401,,1,,3,1,6,0.079052,0.00053,0.000545
42,402,,1,,3,1,6,5.188448,5.86474,6.657211
42,411,,1,,3,1,6,20.038118,20.986795,30.776451
42,421,,1,,3,1,8,1.005173,4.902634,12.010894
42,429,,1,,3,1,8,0.441834,0.242469,0.56643
42,471,,1,,3,1,6,16.428963,32.127731,46.905074
42,472,,1,,3,1,7,1.999002,1.904626,3.171672
42,481,,1,,3,1,5,0.468161,0.513296,0.478028
42,484,,1,,3,1,5,28.055767,35.223763,34.933278
42,485,,1,,3,1,3,1.565363,9.260986,3.155559
42,486,,1,,3,1,6,1.248119,0.027929,0.030192
42,488,,1,,3,1,5,11.99072,10.989578,9.810527
42,489,,1,,3,1,5,7.993029,7.996321,7.15226
42,491,,1,,3,1,5,21.936373,28.580196,23.427777
42,511,,1,,3,1,8,0.866643,0.988774,2.233572
42,519,,1,,3,1,8,0.006399,0.029155,0.062756
42,531,,1,,3,1,7,33.032654,63.048203,104.044828
42,539,,1,,3,1,7,0.946964,0.611543,0.948544
42,551,,1,,3,1,7,41.033909,1.909281,3.55517
42,559,,1,,3,1,7,0.187949,0.010337,0.019284
42,560,,1,,3,1,6,0.571667,0.004326,0.005017
49,11,,1,,3,1,7,1.943391,5.964888,10.377427
49,11,,5,,3,1,7,0.039817,0.000165,0.00033
49,19,,1,,3,1,7,0.020114,0.000143,0.000254
49,41,,1,,3,1,2,502.471466,658.057678,131.741064
49,41,,5,,3,1,2,0.0001,5e-05,1.1e-05
49,42,,1,,3,1,3,15.735848,22.909042,6.014936
49,49,,1,,3,1,2,478.520782,654.410217,145.070782
49,49,,5,,3,1,3,16.440134,0.111921,0.031514
49,50,,1,,3,1,6,2.593762,10.816245,15.092918
49,61,,1,,3,1,3,148.176224,182.794159,54.659559
49,61,,5,,3,1,3,0.000101,5e-05,1.8e-05
49,62,,1,,3,1,4,0.0001,5e-05,3.7e-05
49,63,,1,,3,1,2,0.005165,0.079642,0.017211
49,64,,1,,3,1,4,25.00864,24.004057,16.578839
49,64,,5,,3,1,5,0.0001,5e-05,3.8e-05
49,69,,1,,3,1,4,30.814642,25.238632,15.705405
49,69,,5,,3,1,4,9.040746,0.086798,0.060957
49,81,,1,,3,1,5,4.180033,9.69666,9.089234
49,81,,5,,3,1,6,0.269614,0.206527,0.254879
49,89,,1,,3,1,5,11.996584,11.996392,9.728466
49,89,,5,,3,1,6,35.484219,0.122828,0.133461
49,91,,1,,3,1,8,0.03869,0.000241,0.000635
49,91,,5,,3,1,8,0.071012,0.000186,0.000687
49,122,,1,,3,1,8,14.007917,5.993082,14.540992
49,123,,1,,3,1,8,21.943197,12.954231,28.732084
49,129,,1,,3,1,8,12.734969,6.605792,13.99857
49,131,,1,,3,1,7,36.29018,26.379171,50.465242
49,139,,1,,3,1,7,0.200836,2.387131,4.712672
49,151,,4,,3,1,8,0.000403,5e-05,0.00014
49,151,,5,,3,1,8,3.198297,10.904975,32.396795
49,159,,4,,3,1,8,0.000286,5e-05,0.000139
49,160,,1,,3,1,6,0.135707,0.017871,0.018213
49,171,,1,,3,1,7,1.612136,3.906655,7.444129
49,172,,5,,3,1,7,0.284535,0.000725,0.001269
49,179,,1,,3,1,7,10.998302,6.388882,11.13766
49,182,,1,,3,1,7,2.107338,6.568684,12.16714
49,190,,1,,3,1,7,11.91444,11.024079,17.853524
49,212,,1,,3,1,7,0.990543,5.986071,11.173086
49,230,,1,,3,1,8,1.532223,0.009395,0.027394
49,241,,1,,3,1,8,9.815793,6.736091,16.549471
49,242,,1,,3,1,8,3.439983,11.840499,28.476599
49,251,,1,,3,1,8,2.403425,5.623221,15.516147
49,261,,1,,3,1,8,11.951752,11.977376,25.78151
49,262,,1,,3,1,8,11.59667,11.862528,24.370968
49,262,,5,,3,1,8,0.412536,0.001165,0.002381
49,271,,1,,3,1,7,31.996412,23.983131,44.978111
49,271,,5,,3,1,7,0.0001,5e-05,9.8e-05
49,280,,1,,3,1,7,11.995371,11.85702,18.716505
49,292,,1,,3,1,7,8.913845,5.6358,8.992025
49,300,,1,,3,1,6,2.906597,6.214861,8.146124
49,319,,5,,3,1,7,0.0001,5e-05,7.9e-05
49,321,,1,,3,1,3,2.90797,10.996248,3.684779
49,342,,1,,3,1,8,1.184768,5.848439,14.92256
49,350,,1,,3,1,4,35.731804,2.302631,1.260049
49,350,,5,,3,1,4,0.059348,0.639756,0.4352
49,362,,1,,3,1,8,0.979197,5.871472,13.770338
49,362,,5,,3,1,8,0.763095,0.003372,0.008071
49,363,,1,,3,1,8,7.499422,5.035243,13.340013
49,371,,1,,3,1,8,9.229317,4.499507,9.569546
49,373,,1,,3,1,8,20.360373,12.657295,28.485766
49,379,,1,,3,1,8,9.926027,6.069631,13.617145
49,391,,1,,3,1,7,0.910692,5.515854,10.783824
49,392,,1,,3,1,8,10.261251,4.996872,10.667473
49,392,,5,,3,1,8,0.0001,5e-05,0.00011
49,393,,1,,3,1,8,10.321331,5.731211,11.673541
49,399,,1,,3,1,8,10.072922,6.778889,13.968038
49,411,,1,,3,1,6,0.689261,0.064177,0.080443
49,419,,1,,3,1,6,0.020577,0.000141,0.000167
49,419,,5,,3,1,6,1.898475,0.005563,0.007464
49,421,,1,,3,1,8,1.533378,6.673555,16.954411
49,421,,5,,3,1,8,0.037543,0.000262,0.000825
49,422,,1,,3,1,8,1.896351,5.717087,12.55493
49,429,,1,,3,1,8,12.025127,11.985611,28.371728
49,452,,1,,3,1,8,2.048556,4.670408,9.505204
49,459,,1,,3,1,8,10.876961,6.536853,13.9494
49,460,,1,,3,1,7,1.604016,5.688301,8.551946
49,472,,1,,3,1,7,6.294765,6.446797,11.288294
49,473,,1,,3,1,7,1.97379,5.976423,11.423591
49,479,,1,,3,1,7,1.33453,0.367644,0.652371
49,484,,1,,3,1,6,27.965429,18.998621,21.60027
49,484,,5,,3,1,6,0.882868,0.151205,0.175705
49,486,,1,,3,1,6,0.125421,0.090844,0.115625
49,486,,5,,3,1,6,1.731894,0.010099,0.013469
49,488,,5,,3,1,6,0.68715,0.002738,0.003216
49,489,,1,,3,1,6,0.0001,5e-05,5.2e-05
49,491,,1,,3,1,4,1.002105,0.12495,0.084743
49,491,,5,,3,1,5,0.00187,0.026166,0.022839
49,499,,1,,3,1,4,1.483264,1.206848,0.674981
49,511,,1,,3,1,8,19.536606,11.960945,27.893384
49,519,,1,,3,1,8,3.835261,11.480677,25.595247
49,531,,1,,3,1,6,11.995624,11.977103,17.36286
49,539,,1,,3,1,6,1.946516,5.976999,8.399429
49,559,,1,,3,1,7,9.980212,6.001709,11.739751
49,559,,5,,3,1,8,0.000152,0.00036,0.000742
50,19,,1,,3,1,3,11.000335,24.987015,11.182483
50,50,,1,,3,1,2,3343.64624,9608.539062,1386.069934
50,81,,5,,3,1,6,0.000115,5.2e-05,6.3e-05
50,92,,1,,3,1,6,0.27765,0.015474,0.020989
50,101,,1,,3,1,6,0.74943,0.839983,0.954774
50,139,,1,,3,1,4,13.998264,7.003435,4.548266
50,179,,1,,3,1,3,0.822344,1.267019,0.607027
50,190,,1,,3,1,4,1.829783,6.698181,4.254386
50,202,,1,,3,1,3,1.748826,5.415819,2.420599
50,212,,1,,3,1,4,0.183001,0.469086,0.244287
50,219,,1,,3,1,3,1.678805,5.894668,2.916266
50,223,,1,,3,1,3,63.354637,185.590454,89.088091
50,223,,3,,3,1,4,212.972321,614.23114,404.472754
50,223,,5,,3,1,4,2.0397,7.418895,4.43271
50,229,,1,,3,1,3,14.022689,29.948549,10.034847
50,280,,1,,3,1,3,6.200347,4.139339,1.217238
50,292,,1,,3,1,3,0.737671,0.906147,0.318762
50,292,,3,,3,1,4,78.337395,214.277786,141.969943
50,299,,1,,3,1,3,6.823212,11.607685,3.793455
50,372,,1,,3,1,5,1.053026,0.217547,0.179884
50,373,,1,,3,1,5,0.347027,0.424142,0.387327
50,379,,1,,3,1,5,29.005337,66.04335,57.652633
50,380,,1,,3,1,6,1.906735,2.072263,2.463228
50,401,,1,,3,1,3,0.015347,0.016378,0.005935
50,409,,1,,3,1,3,1.803934,0.752435,0.281714
50,452,,1,,3,1,4,1.256318,0.477752,0.334913
50,459,,1,,3,1,5,3.335539,2.988902,2.370366
50,471,,1,,3,1,2,233.020462,297.998077,51.127892
50,472,,1,,3,1,3,1.699986,0.466789,0.179612
50,479,,1,,3,1,3,4.600683,10.051083,3.892152
50,484,,1,,3,1,3,2.955138,3.100644,1.168365
