k,epochs,mean_r2,mean_auc,mean_cpc,mean_pos_r2,runtime_sec
5,500,0.5319621344740036,0.7297336950960197,0.3800517520775273,0.5546382078811207,41.89447498321533
10,500,0.5287060011212857,0.7343627812439895,0.32312926735826203,0.5406552259568838,45.33436107635498
15,500,0.5092006873040688,0.7302687933472715,0.3439695132502473,0.5312684717832221,44.49046277999878
20,500,0.5108008707031021,0.7267246582846274,0.3224524029887421,0.5275591139717786,47.79749917984009
