k,epochs,seed,select_metric,n_edges_all,train_edges,val_edges,test_edges,val_mean_r2,val_mean_auc,val_mean_cpc,val_mean_pos_r2,test_mean_r2,test_mean_auc,test_mean_cpc,test_mean_pos_r2,runtime_sec
5,500,42,mean_cpc,17292,12103,2593,2596,0.44120958611743255,0.7878841832743237,0.31431440005796746,0.4726557888286262,0.47554796107536396,0.7954684325439899,0.3219183346372015,0.4932525261566532,44.823917865753174
10,500,42,mean_cpc,17292,12103,2593,2596,0.42499843989082986,0.7709253931244776,0.3132915142480629,0.4629860490677396,0.46003160731806503,0.7794756439384399,0.322474315307793,0.4813981686836258,42.358757734298706
15,500,42,mean_cpc,17292,12103,2593,2596,0.4216833897816472,0.7683392804417036,0.29670120375314857,0.4513533141018468,0.4629112982649284,0.7797759833721328,0.3347630166009547,0.4748204320161408,44.37975883483887
20,500,42,mean_cpc,17292,12103,2593,2596,0.408809181575433,0.7714573096951022,0.30261368285494106,0.4477103798619246,0.44804180695470147,0.7805694051264851,0.33278059110689356,0.46744888397793594,44.34181189537048
