model,k,epochs,seed,select_metric,n_edges_all,train_edges,val_edges,test_edges,val_mean_r2,val_mean_auc,val_mean_cpc,val_mean_pos_r2,test_mean_r2,test_mean_auc,test_mean_cpc,test_mean_pos_r2,runtime_sec
edge_mlp,,500,42,mean_cpc,17292,12103,2593,2596,0.367998847979167,0.7251509726514164,0.22246937401037983,0.4033574098760852,0.3781807123147361,0.7382754153500329,0.18626477085681087,0.3991663134944541,48.55490589141846
sparse_gcn_noport,5,500,42,mean_cpc,17292,12103,2593,2596,0.43929473278363446,0.7868037541223968,0.3146287678748836,0.47238032619185677,0.4723496272318547,0.7940950262654621,0.31757726838878236,0.49106628520085366,49.648313760757446
